snow;neve
war;guerra
thaw;degelo
freezing;congelação
summer;verão
winter;inverno
autumn;outono
spring;primavera
ice cream;sorvete
hotel;hotel
soil;solo
vegetable;vegetal
machine;máquina
sea;mar
book;livro
beard;barba
Jupiter;Júpiter
sword;espada
difficulty;dificuldade
light;luz
cuirass;couraça
folder;dobrador
rum;rum
juice;suco
pirate;pirata
dill;endro
painter;pintor
red;vermelho
green;verde
blue;azul
black;preto
white;branco
yellow;amarelo
rhombus;losango
triangle;triângulo
square;praça
plate;prato
language;linguagem
circle;círculo
goal;objetivo
Injun;Índio
collection;coleção
mobilization;mobilização
smoked;fumado
party;festa
titanium;titânio
destabilization;desestabilização
tenderness;ternura
youth;juventude
cheerful;alegre
candy;doce
mandarin;mandarim
lead;conduzir
screen;tela
burger;hambúrguer
button;botão
bell;sino
sadness;tristeza
sound;parecer
meditation;meditação
conservation;conservação
liberalization;liberalização
exam;exame
degradation;degradação
error;erro
search;procurar
socket;soquete
bar;bar
vulture;abutre
watch;observar
window;janela
lantern;lanterna
trash;lixo
football;futebol
hockey;hóquei
basketball;basquetebol
volleyball;voleibol
rugby;rúgbi
billiards;bilhar
Titanic;Titânico
dynamic;dinâmico
device;dispositivo
print;imprimir
fraction;fração
cookery;culinária
office;escritório
Caesar;César
up;para cima
running;funcionamento
sneeze;espirrar
kick;chutá
bawl;berrar
operator;operador
nose;nariz
boxing;boxe
horseradish;raiz-forte
accordion;acordeão
grill;grelha
urn;urna
chew;mastigar
cat;gato
code;código
music;música
flower;flor
coloring;corante
hardcore;incondicional
happiness;felicidade
smile;sorrir
smirk;sorrir afetadamente
souffle;sopro
charging;carregamento
discharge;quitação
optics;ótica
hallucination;alucinação
translation;tradução
flow;fluxo
bucket;balde
sing;cantar
angle;ângulo
wall;parede
side;lado
wind;vento
thunder;trovão
background;fundo
good;bom
money;dinheiro
apple;maçã
mouse;mouse
electronic;eletrônico
sms;sms
pipe;tubo
bicycle;bicicleta
space;espaço
decline;diminuir
newspaper;jornal
movie;filme
glass;vidro
whisper;sussurrar
mountain;montanha
dessert;sobremesa
haircut;corte de cabelo
rotation;rotação
