snow;сніг
war;війна
thaw;відлига
freezing;заморожування
summer;літо
winter;зима
autumn;осінь
spring;весна
ice cream;морозиво
hotel;готель
soil;грунт
vegetable;рослинний
machine;машина
sea;море
book;книга
beard;борода
Jupiter;Юпітер
sword;меч
difficulty;трудність
light;світло
cuirass;панцир
folder;папка
rum;ром
juice;сік
pirate;пірат
dill;кріп
painter;художник
red;червоний
green;зелений
blue;синій
black;чорний
white;білий
yellow;жовтий
rhombus;ромб
triangle;трикутник
square;площа
plate;плита
language;мову
circle;коло
goal;мета
Injun;Індіанець
collection;колекція
mobilization;мобілізація
smoked;копчений
party;партія
titanium;титан
destabilization;дестабілізація
tenderness;ніжність
youth;молодь
cheerful;веселий
candy;цукерки
mandarin;мандарин
lead;вести
screen;екран
burger;бутерброд
button;кнопка
bell;дзвін
sadness;печаль
sound;звучати
meditation;медитація
conservation;збереження
liberalization;лібералізація
exam;іспит
degradation;деградація
error;помилка
search;пошук
socket;гніздо
bar;бар
vulture;гриф
watch;дивитися
window;вікно
lantern;ліхтар
trash;сміття
football;футбол
hockey;хокей
basketball;баскетбол
volleyball;волейбол
rugby;регбі
billiards;більярд
Titanic;Титанічна
dynamic;динамічний
device;пристрій
print;друкувати
fraction;фракція
cookery;кулінарія
office;офіс
Caesar;Цезар
up;вгору
running;працюючий
sneeze;чхати
kick;штовхнути
bawl;репетувати
operator;оператор
nose;ніс
boxing;бокс
horseradish;хрін
accordion;акордеон
grill;гриль
urn;урна
chew;жувати
cat;кішка
code;код
music;музика
flower;квітка
coloring;забарвлення
hardcore;хардкор
happiness;щастя
smile;посміхатися
smirk;посміхатися
souffle;суфле
charging;зарядка
discharge;розрядити
optics;оптика
hallucination;галюцинація
translation;переклад
flow;потік
bucket;відро
sing;співати
angle;кут
wall;стіна
side;сторона
wind;вітер
thunder;грім
background;фон
good;добре
money;гроші
apple;яблуко
mouse;миша
electronic;електронний
sms;SMS
pipe;труба
bicycle;велосипед
space;простір
decline;знижуватися
newspaper;газета
movie;кіно
glass;скло
whisper;шепотіти
mountain;гора
dessert;десерт
haircut;стрижка
rotation;обертання
