snow;сняг
war;война
thaw;размразяване
freezing;замразяване
summer;лято
winter;зима
autumn;есен
spring;пролет
ice cream;сладолед
hotel;хотел
soil;почва
vegetable;растителен
machine;машина
sea;море
book;книга
beard;брада
Jupiter;Юпитер
sword;меч
difficulty;трудност
light;светлина
cuirass;ризница
folder;папка
rum;ром
juice;сок
pirate;пират
dill;копър
painter;художник
red;червен
green;зелен
blue;син
black;черен
white;бял
yellow;жълт
rhombus;ромб
triangle;триъгълник
square;квадрат
plate;плоча
language;език
circle;кръг
goal;гол
Injun;Индианец
collection;колекция
mobilization;мобилизация
smoked;пушено
party;страна
titanium;титан
destabilization;дестабилизация
tenderness;нежност
youth;младежта
cheerful;радостен
candy;бонбони
mandarin;мандарина
lead;олово
screen;екран
burger;бургер
button;бутон
bell;звънец
sadness;скръб
sound;звук
meditation;медитация
conservation;съхраняване
liberalization;либерализация
exam;изпит
degradation;деградация
error;грешка
search;търсене
socket;гнездо
bar;бар
vulture;лешояд
watch;гледам
window;прозорец
lantern;фенер
trash;боклук
football;футбол
hockey;хокей
basketball;баскетбол
volleyball;волейбол
rugby;ръгби
billiards;билярд
Titanic;Титаничен
dynamic;динамичен
device;уред
print;печат
fraction;фракция
cookery;готварство
office;офис
Caesar;Цезар
up;нагоре
running;бягане
sneeze;кихане
kick;сритам
bawl;вик
operator;оператор
nose;нос
boxing;бокс
horseradish;хрян
accordion;акордеон
grill;грил
urn;урна
chew;дъвча
cat;котка
code;код
music;музика
flower;цвете
coloring;оцветяване
hardcore;хардкор
happiness;щастие
smile;усмивка
smirk;самодоволна усмивка
souffle;суфле
charging;зареждане
discharge;изпълнение
optics;оптика
hallucination;халюцинация
translation;превод
flow;поток
bucket;кофа
sing;пея
angle;ъгъл
wall;стена
side;страна
wind;вятър
thunder;гръм
background;фон
good;добър
money;пари
apple;ябълка
mouse;мишка
electronic;електронен
sms;SMS
pipe;тръба
bicycle;велосипед
space;пространство
decline;намалява
newspaper;вестник
movie;филм
glass;стъкло
whisper;шепот
mountain;планина
dessert;десерт
haircut;подстригване
rotation;въртене
