snow;sníh
war;válka
thaw;tání
freezing;mrazivý
summer;léto
winter;zimní
autumn;podzim
spring;jaro
ice cream;zmrzlina
hotel;hotel
soil;půda
vegetable;zeleninový
machine;stroj
sea;moře
book;kniha
beard;vousy
Jupiter;Jupiter
sword;meč
difficulty;obtížnost
light;světlo
cuirass;kyrys
folder;desky
rum;rum
juice;šťáva
pirate;pirát
dill;kopr
painter;malíř
red;červený
green;zelený
blue;modrý
black;černý
white;bílý
yellow;žlutý
rhombus;kosočtverec
triangle;trojúhelník
square;náměstí
plate;deska
language;jazyk
circle;kruh
goal;cíl
Injun;Injun
collection;sbírka
mobilization;mobilizace
smoked;uzený
party;strana
titanium;titan
destabilization;destabilizace
tenderness;citlivost
youth;mládí
cheerful;veselý
candy;bonbón
mandarin;mandarinka
lead;vést
screen;obrazovka
burger;hamburger
button;tlačítko
bell;zvonek
sadness;smutek
sound;zvuk
meditation;rozjímání
conservation;zachování
liberalization;liberalizace
exam;zkouška
degradation;degradace
error;chyba
search;vyhledat
socket;zásuvka
bar;bar
vulture;sup
watch;sledovat
window;okno
lantern;lucerna
trash;koše
football;fotbal
hockey;hokej
basketball;basketball
volleyball;volejbal
rugby;ragby
billiards;kulečník
Titanic;Obrovský
dynamic;dynamický
device;zařízení
print;vytisknout
fraction;zlomek
cookery;kuchařství
office;kancelář
Caesar;Caesar
up;nahoru
running;běh
sneeze;kýchnout
kick;kopat
bawl;řvát
operator;operátor
nose;nos
boxing;box
horseradish;křen
accordion;akordeon
grill;gril
urn;urna
chew;žvýkat
cat;kočka
code;kód
music;hudba
flower;květina
coloring;zbarvení
hardcore;hardcore
happiness;štěstí
smile;úsměv
smirk;samolibě se šklebit
souffle;bublanina
charging;nabíjení
discharge;plnění
optics;optika
hallucination;halucinace
translation;překlad
flow;průtok
bucket;vědro
sing;zpívat
angle;úhel
wall;zeď
side;strana
wind;vítr
thunder;hrom
background;pozadí
good;dobrý
money;peníze
apple;jablko
mouse;myš
electronic;elektronický
sms;sms
pipe;trubka
bicycle;jízdní kolo
space;místo
decline;pokles
newspaper;noviny
movie;film
glass;sklo
whisper;šeptat
mountain;hora
dessert;dezert
haircut;střih
rotation;rotace
