snow;雪
war;戦争
thaw;雪解け
freezing;凍結
summer;夏
winter;冬
autumn;秋
spring;春
ice cream;アイスクリーム
hotel;ホテル
soil;土壌
vegetable;野菜
machine;マシン
sea;海
book;本
beard;あごひげ
Jupiter;木星
sword;剣
difficulty;難しさ
light;光
cuirass;胸当て
folder;フォルダ
rum;ラム酒
juice;ジュース
pirate;海賊
dill;ディル
painter;画家
red;赤
green;緑
blue;青
black;黒
white;白
yellow;黄色
rhombus;ひし形
triangle;三角形
square;広場
plate;プレート
language;言語
circle;サークル
goal;目標
Injun;アメリカインディアン
collection;コレクション
mobilization;動員
smoked;薫製
party;パーティー
titanium;チタン
destabilization;不安定化
tenderness;優しさ
youth;若者
cheerful;陽気な
candy;キャンディー
mandarin;マンダリン
lead;つながる
screen;画面
burger;バーガー
button;ボタン
bell;ベル
sadness;悲しみ
sound;音
meditation;瞑想
conservation;保全
liberalization;自由化
exam;試験
degradation;劣化
error;エラー
search;検索
socket;ソケット
bar;バー
vulture;ハゲワシ
watch;見る
window;ウィンドウ
lantern;ランタン
trash;ゴミ
football;サッカー
hockey;ホッケー
basketball;バスケットボール
volleyball;バレーボール
rugby;ラグビー
billiards;ビリヤード
Titanic;タイタニック
dynamic;ダイナミック
device;デバイス
print;印刷
fraction;分数
cookery;料理法
office;オフィス
Caesar;シーザー
up;アップ
running;ランニング
sneeze;くしゃみ
kick;キック
bawl;どなる
operator;オペレーター
nose;鼻
boxing;ボクシング
horseradish;セイヨウワサビ
accordion;アコーディオン
grill;グリル
urn;沸かし器
chew;かむ
cat;猫
code;コー​​ド
music;音楽
flower;花
coloring;着色
hardcore;ハードコア
happiness;幸福
smile;笑顔
smirk;作り笑い
souffle;スフレ
charging;充電
discharge;放電
optics;光学
hallucination;幻覚
translation;翻訳
flow;流れ
bucket;バケット
sing;歌う
angle;角度
wall;壁
side;サイド
wind;風
thunder;雷
background;背景
good;良い
money;お金
apple;リンゴ
mouse;マウス
electronic;エレクトロニック
sms;SMS
pipe;パイプ
bicycle;自転車
space;スペース
decline;衰退
newspaper;新聞
movie;ムービー
glass;ガラス
whisper;ささやく
mountain;山
dessert;デザート
haircut;散髪
rotation;回転
