snow;sniegs
war;karš
thaw;atkusnis
freezing;saldēšana
summer;vasara
winter;ziema
autumn;rudens
spring;pavasaris
ice cream;saldējums
hotel;viesnīca
soil;augsne
vegetable;dārzeņu
machine;mašīna
sea;jūra
book;grāmata
beard;bārda
Jupiter;Jupiters
sword;zobens
difficulty;grūtības
light;gaisma
cuirass;bruņas
folder;mape
rum;rums
juice;sula
pirate;pirāts
dill;dilles
painter;gleznotājs
red;sarkans
green;zaļš
blue;zils
black;melns
white;balts
yellow;dzeltens
rhombus;rombs
triangle;trīsstūris
square;kvadrātveida
plate;plate
language;valoda
circle;aplis
goal;mērķis
Injun;Indiānis
collection;kolekcija
mobilization;mobilizācija
smoked;kūpināts
party;partija
titanium;titāns
destabilization;destabilizāciju
tenderness;maigums
youth;jaunatne
cheerful;jautrs
candy;konfektes
mandarin;mandarīns
lead;vadīt
screen;ekrāns
burger;Bürger
button;poga
bell;zvans
sadness;skumjas
sound;skaņa
meditation;pārdomas
conservation;saglabāšana
liberalization;liberalizācija
exam;eksāmens
degradation;degradācija
error;kļūda
search;meklēt
socket;ligzda
bar;bārs
vulture;grifs
watch;noskatīties
window;logs
lantern;laterna
trash;trash
football;futbols
hockey;hokejs
basketball;basketbols
volleyball;volejbols
rugby;regbijs
billiards;biljards
Titanic;Titānisks
dynamic;dinamisks
device;ierīce
print;drukāt
fraction;daļa
cookery;vārīšana
office;birojs
Caesar;Caesar
up;augšup
running;ekspluatācijas
sneeze;šķaudīt
kick;kick
bawl;bļāviens
operator;operators
nose;deguns
boxing;bokss
horseradish;mārrutki
accordion;akordeons
grill;restes
urn;urna
chew;košļāt
cat;kaķis
code;kods
music;mūzika
flower;zieds
coloring;krāsviela
hardcore;hardcore
happiness;laime
smile;smaids
smirk;smīns
souffle;suflē
charging;uzlādes
discharge;izlādēt
optics;optika
hallucination;halucinācija
translation;tulkojums
flow;plūsma
bucket;spainis
sing;dziedāt
angle;leņķis
wall;siena
side;sānu
wind;vējš
thunder;pērkons
background;fons
good;labs
money;nauda
apple;ābols
mouse;pele
electronic;elektronisks
sms;sms
pipe;caurule
bicycle;velosipēds
space;telpa
decline;samazināties
newspaper;avīze
movie;filma
glass;stikls
whisper;čuksti
mountain;kalns
dessert;deserts
haircut;frizūra
rotation;rotācija
