snow;снег
war;война
thaw;оттепель
freezing;замораживание
summer;лето
winter;зима
autumn;осень
spring;весна
ice cream;мороженое
hotel;отель
soil;почва
vegetable;растительный
machine;машина
sea;море
book;книга
beard;борода
Jupiter;Юпитер
sword;меч
difficulty;трудность
light;свет
cuirass;панцирь
folder;папка
rum;ром
juice;сок
pirate;пират
dill;укроп
painter;художник
red;красный
green;зеленый
blue;синий
black;черный
white;белый
yellow;желтый
rhombus;ромб
triangle;треугольник
square;площадь
plate;плита
language;язык
circle;круг
goal;цель
Injun;Индеец
collection;коллекция
mobilization;мобилизация
smoked;копченый
party;партия
titanium;титан
destabilization;дестабилизация
tenderness;нежность
youth;молодежь
cheerful;веселый
candy;конфеты
mandarin;мандарин
lead;вести
screen;экран
burger;бутерброд
button;кнопка
bell;колокол
sadness;печаль
sound;звучать
meditation;медитация
conservation;сохранение
liberalization;либерализация
exam;экзамен
degradation;деградация
error;ошибка
search;поиск
socket;гнездо
bar;бар
vulture;гриф
watch;смотреть
window;окно
lantern;фонарь
trash;мусор
football;футбол
hockey;хоккей
basketball;баскетбол
volleyball;волейбол
rugby;регби
billiards;бильярд
Titanic;Титанический
dynamic;динамический
device;устройство
print;печатать
fraction;фракция
cookery;кулинария
office;офис
Caesar;Цезарь
up;вверх
running;работающий
sneeze;чихать
kick;пнуть
bawl;орать
operator;оператор
nose;нос
boxing;бокс
horseradish;хрен
accordion;аккордеон
grill;гриль
urn;урна
chew;жевать
cat;кошка
code;код
music;музыка
flower;цветок
coloring;окраска
hardcore;хардкор
happiness;счастье
smile;улыбаться
smirk;ухмыляться
souffle;суфле
charging;зарядка
discharge;разрядить
optics;оптика
hallucination;галлюцинация
translation;перевод
flow;поток
bucket;ведро
sing;петь
angle;угол
wall;стена
side;сторона
wind;ветер
thunder;гром
background;фон
good;хорошо
money;деньги
apple;яблоко
mouse;мышь
electronic;электронный
sms;SMS
pipe;труба
bicycle;велосипед
space;пространство
decline;снижаться
newspaper;газета
movie;кино
glass;стекло
whisper;шептать
mountain;гора
dessert;десерт
haircut;стрижка
rotation;вращение
