snow;sneh
war;vojna
thaw;topenia
freezing;mrazivý
summer;leto
winter;zimné
autumn;jeseň
spring;jar
ice cream;zmrzlina
hotel;hotel
soil;pôda
vegetable;zeleninový
machine;stroj
sea;more
book;kniha
beard;fúzy
Jupiter;Jupiter
sword;meč
difficulty;obtiažnosť
light;svetlo
cuirass;kyrys
folder;dosky
rum;rum
juice;šťava
pirate;pirát
dill;kôpor
painter;maliar
red;červený
green;zelený
blue;modrý
black;čierny
white;biely
yellow;žltý
rhombus;kosoštvorec
triangle;trojuholník
square;námestí
plate;doska
language;jazyk
circle;kruh
goal;cieľ
Injun;Injun
collection;zbierka
mobilization;mobilizácia
smoked;údený
party;strana
titanium;titan
destabilization;destabilizácia
tenderness;citlivosť
youth;mladosti
cheerful;veselý
candy;cukrík
mandarin;mandarínka
lead;viesť
screen;obrazovka
burger;hamburger
button;tlačidlo
bell;zvonček
sadness;smútok
sound;zvuk
meditation;rozjímanie
conservation;zachovanie
liberalization;liberalizácia
exam;skúška
degradation;degradácie
error;chyba
search;vyhľadať
socket;zásuvka
bar;bar
vulture;sup
watch;sledovať
window;okno
lantern;lampáš
trash;koše
football;futbal
hockey;hokej
basketball;basketball
volleyball;volejbal
rugby;ragby
billiards;biliard
Titanic;Obrovský
dynamic;dynamický
device;zariadenie
print;vytlačiť
fraction;zlomok
cookery;kuchařství
office;kancelária
Caesar;Caesar
up;hore
running;beh
sneeze;kýchnuť
kick;kopať
bawl;revať
operator;operátor
nose;nos
boxing;box
horseradish;chren
accordion;akordeón
grill;gril
urn;urna
chew;žuť
cat;mačka
code;kód
music;hudba
flower;kvetina
coloring;sfarbenie
hardcore;hardcore
happiness;šťastie
smile;úsmev
smirk;samoľúbo sa uškŕňať
souffle;bublanina
charging;nabíjanie
discharge;plnenie
optics;optika
hallucination;halucinácie
translation;preklad
flow;prietok
bucket;vedro
sing;spievať
angle;uhol
wall;múr
side;strana
wind;vietor
thunder;hrom
background;pozadia
good;dobrý
money;peniaze
apple;jablko
mouse;myš
electronic;elektronický
sms;sms
pipe;rúrka
bicycle;bicykel
space;miesto
decline;pokles
newspaper;noviny
movie;film
glass;sklo
whisper;šepkať
mountain;hora
dessert;dezert
haircut;strih
rotation;rotácie
