snow;χιόνι
war;πόλεμος
thaw;τήξη
freezing;πάγωμα
summer;καλοκαίρι
winter;χειμώνας
autumn;φθινόπωρο
spring;άνοιξη
ice cream;παγωτό
hotel;ξενοδοχείο
soil;χώμα
vegetable;λαχανικό
machine;μηχανή
sea;θάλασσα
book;βιβλίο
beard;γενειάδα
Jupiter;Δίας
sword;ξίφος
difficulty;δυσκολία
light;φως
cuirass;θώρακας
folder;ντοσιέ
rum;ρούμι
juice;χυμός
pirate;πειρατής
dill;άνηθο
painter;ζωγράφος
red;κόκκινος
green;πράσινος
blue;μπλε
black;μαύρος
white;λευκό
yellow;κίτρινος
rhombus;ρόμβος
triangle;τρίγωνο
square;πλατεία
plate;πλάκα
language;γλώσσα
circle;κύκλος
goal;γκολ
Injun;Injun
collection;συλλογή
mobilization;κινητοποίηση
smoked;καπνιστό
party;κόμμα
titanium;τιτάνιο
destabilization;αποσταθεροποίηση
tenderness;τρυφερότητα
youth;νεολαία
cheerful;χαρούμενος
candy;καραμέλα
mandarin;μανταρίνι
lead;οδηγήσει
screen;οθόνη
burger;burger
button;κουμπί
bell;κουδούνι
sadness;θλίψη
sound;ήχος
meditation;στοχασμός
conservation;διατήρηση
liberalization;ελευθέρωση
exam;εξέταση
degradation;υποβάθμιση
error;σφάλμα
search;αναζήτηση
socket;υποδοχή
bar;μπαρ
vulture;γύπας
watch;ρολόι
window;παράθυρο
lantern;φανός
trash;σκουπίδια
football;ποδόσφαιρο
hockey;χόκεϊ
basketball;καλαθοσφαίρα
volleyball;βόλεϊ
rugby;ράγκμπι
billiards;μπιλιάρδο
Titanic;Τιτανικός
dynamic;δυναμικός
device;συσκευή
print;εκτύπωση
fraction;κλάσμα
cookery;μαγειρική
office;γραφείο
Caesar;Καίσαρας
up;επάνω
running;τρέξιμο
sneeze;φτάρνισμα
kick;κλωτσήσει
bawl;φωνάζω
operator;χειριστής
nose;μύτη
boxing;πυγμαχία
horseradish;χρένο
accordion;ακορντεόν
grill;εσχάρα
urn;δοχείο
chew;μάσημα
cat;γάτα
code;κωδικός
music;μουσική
flower;λουλούδι
coloring;βαφή
hardcore;hardcore
happiness;ευτυχία
smile;χαμόγελο
smirk;χαζό χαμόγελο
souffle;αφρώδης
charging;φόρτιση
discharge;εκπλήρωση
optics;οπτική
hallucination;παραίσθηση
translation;μετάφραση
flow;ροή
bucket;κάδος
sing;τραγουδώ
angle;γωνία
wall;τοίχος
side;πλευρά
wind;άνεμος
thunder;βροντή
background;φόντο
good;καλός
money;χρήματα
apple;μήλο
mouse;ποντίκι
electronic;ηλεκτρονικός
sms;sms
pipe;σωλήνας
bicycle;ποδήλατο
space;διάστημα
decline;μειώνεται
newspaper;εφημερίδα
movie;ταινία
glass;ποτήρι
whisper;ψίθυρος
mountain;βουνό
dessert;επιδόρπιο
haircut;κούρεμα
rotation;περιστροφή
