snow;snijeg
war;rat
thaw;topljenje
freezing;smrzavanje
summer;ljeto
winter;zima
autumn;jesen
spring;proljeće
ice cream;sladoled
hotel;hotel
soil;tlo
vegetable;povrće
machine;uređaj
sea;more
book;knjiga
beard;brada
Jupiter;Jupiter
sword;mač
difficulty;teąkoća
light;svjetlo
cuirass;oklop
folder;mapa
rum;rum
juice;sok
pirate;gusar
dill;kopar
painter;slikar
red;crven
green;zelen
blue;plav
black;crn
white;bijel
yellow;ľut
rhombus;romb
triangle;trokut
square;kvadrat
plate;ploča
language;jezik
circle;krug
goal;cilj
Injun;Indijanac
collection;zbirka
mobilization;mobilizacija
smoked;dimljeni
party;stranka
titanium;titanijum
destabilization;destabilizacija
tenderness;njeľnost
youth;mladost
cheerful;vedar
candy;bombon
mandarin;mandarin
lead;dovesti
screen;zaslon
burger;pljeskavica
button;dugme
bell;zvono
sadness;tuga
sound;zvuk
meditation;meditacija
conservation;konzervacija
liberalization;liberalizacija
exam;ispit
degradation;degradacija
error;pogreąka
search;Usporedite
socket;utičnica
bar;bar
vulture;sup
watch;gledati
window;prozor
lantern;fenjer
trash;smeće
football;nogomet
hockey;hokej
basketball;koąarka
volleyball;odbojka
rugby;ragbi
billiards;biljar
Titanic;Titanski
dynamic;dinamičan
device;uređaj
print;tiskati
fraction;frakcija
cookery;kulinarstvo
office;ured
Caesar;Cezar
up;gore
running;trčanje
sneeze;kihati
kick;kick
bawl;derati
operator;operator
nose;nos
boxing;boks
horseradish;hren
accordion;harmonika
grill;roątilj
urn;urna
chew;ľvakati
cat;mačka
code;kod
music;glazba
flower;cvijet
coloring;bojanje
hardcore;jezgrovit
happiness;sreća
smile;osmijeh
smirk;zlobno se smjeąkati
souffle;sufle
charging;punjenja
discharge;praľnjenje
optics;optika
hallucination;halucinacija
translation;prijevod
flow;protok
bucket;kanta
sing;pjevati
angle;kut
wall;zid
side;strana
wind;vjetar
thunder;grmljavina
background;pozadina
good;dobro
money;novac
apple;jabuka
mouse;mią
electronic;elektronički
sms;sms
pipe;cijev
bicycle;bicikl
space;prostor
decline;smanjivati
newspaper;novine
movie;film
glass;staklo
whisper;ąaputati
mountain;planina
dessert;desert
haircut;ąiąanje
rotation;rotacija
