snow;sneg
war;Vojna
thaw;odjuge
freezing;zamrzovanje
summer;poletje
winter;zima
autumn;jesen
spring;pomlad
ice cream;sladoled
hotel;Hotel
soil;zemlja
vegetable;zelenjave
machine;stroj
sea;morje
book;Knjiga
beard;brada
Jupiter;Jupiter
sword;meč
difficulty;Težava
light;svetloba
cuirass;cuirass
folder;Mapa
rum;rum
juice;sok
pirate;pirate
dill;koper
painter;Slikar
red;rdeča
green;zelena
blue;modra
black;črna
white;bela
yellow;rumena
rhombus;Romb
triangle;trikotnik
square;kvadrat
plate;plošča
language;jezik
circle;Krog
goal;Cilj
Injun;Indijanska
collection;Zbiranje
mobilization;mobilizacija
smoked;prekajeni
party;Stranka
titanium;titanov
destabilization;destabilizacijo
tenderness;nežnost
youth;mladina
cheerful;veselo
candy;candy
mandarin;mandarin
lead;vodi
screen;zaslon
burger;burger
button;Gumb
bell;bell
sadness;Žalost
sound;zvok
meditation;meditacija
conservation;ohranjanje
liberalization;liberalizacija
exam;izpit
degradation;Degradacija
error;napaka
search;Iskanje
socket;vtičnica
bar;bar
vulture;jastreb
watch;gledam
window;okno
lantern;lantern
trash;smeti
football;nogomet
hockey;hokej
basketball;košarka
volleyball;odbojka
rugby;rugby
billiards;biljard
Titanic;Titanic
dynamic;dinamično
device;Naprava
print;natisni
fraction;frakcija
cookery;Kuharska
office;pisarna
Caesar;Caesar
up;navzgor
running;tek
sneeze;Kihanje
kick;brcati
bawl;Derati
operator;Operater
nose;nos
boxing;boks
horseradish;hren
accordion;harmonika
grill;žar
urn;žaro
chew;žvečiti
cat;mačka
code;koda
music;Glasba
flower;cvet
coloring;barvanje
hardcore;hardcore
happiness;Sreča
smile;nasmeh
smirk;Nor
souffle;narastek
charging;polnjenje
discharge;razrešnice
optics;optika
hallucination;halucinacije
translation;Prevajanje
flow;tok
bucket;vedro
sing;pojejo
angle;Kot
wall;zid
side;stran
wind;veter
thunder;grom
background;ozadje
good;dobra
money;Denar
apple;jabolko
mouse;Miška
electronic;elektronska
sms;sms
pipe;cev
bicycle;kolo
space;prostor
decline;upada
newspaper;časopis
movie;Film
glass;steklo
whisper;šepetati
mountain;gora
dessert;sladica
haircut;frizuro
rotation;vrtenje
