snow;lumi
war;sõda
thaw;sula
freezing;külmutamine
summer;suvi
winter;talv
autumn;sügis
spring;kevad
ice cream;jäätis
hotel;hotell
soil;muld
vegetable;köögivili
machine;masin
sea;meri
book;raamat
beard;habe
Jupiter;Jupiter
sword;mõõk
difficulty;raskus
light;valgus
cuirass;Rintahaarniska
folder;kausta
rum;rumm
juice;mahl
pirate;piraat
dill;till
painter;maalikunstnik
red;punane
green;roheline
blue;sinine
black;must
white;valge
yellow;kollane
rhombus;romb
triangle;kolmnurk
square;ruut
plate;plaat
language;keel
circle;ring
goal;eesmärk
Injun;Injun
collection;kogumine
mobilization;mobilisatsioon
smoked;suitsutatud
party;pidu
titanium;titaan
destabilization;destabiliseerimise
tenderness;hellus
youth;noorsugu
cheerful;rõõmus
candy;komm
mandarin;mandariin
lead;viima
screen;ekraan
burger;burger
button;nupp
bell;kell
sadness;kurbus
sound;heli
meditation;mõtisklus
conservation;kaitse
liberalization;liberaliseerimine
exam;eksam
degradation;degradatsioon
error;viga
search;otsida
socket;pesa
bar;baar
vulture;raisakotkas
watch;vaatama
window;aken
lantern;latern
trash;prügikast
football;jalgpall
hockey;hoki
basketball;korvpall
volleyball;võrkpall
rugby;ragbi
billiards;piljard
Titanic;Titaanlik
dynamic;dünaamiline
device;seade
print;trükkima
fraction;fraktsioon
cookery;kokandus
office;kontor
Caesar;Keiser
up;üles
running;jooksmine
sneeze;aevastama
kick;kick
bawl;tänitama
operator;operaator
nose;nina
boxing;poks
horseradish;mädarõigas
accordion;akordion
grill;grill
urn;urn
chew;närima
cat;kass
code;kood
music;muusika
flower;lill
coloring;värvimine
hardcore;hardcore
happiness;õnn
smile;naeratus
smirk;muigama
souffle;suflee
charging;Laadimise
discharge;tühjaks
optics;optika
hallucination;viirastus
translation;tõlkimine
flow;vool
bucket;kopp
sing;laulma
angle;nurk
wall;sein
side;pool
wind;tuul
thunder;kõu
background;tagapõhi
good;hea
money;raha
apple;õun
mouse;hiir
electronic;elektrooniline
sms;sms
pipe;toru
bicycle;jalgratas
space;ruum
decline;vähenema
newspaper;ajaleht
movie;film
glass;klaas
whisper;sosin
mountain;mägi
dessert;dessert
haircut;soeng
rotation;rotatsioon
