snow;눈
war;전쟁
thaw;해동
freezing;동결
summer;여름
winter;겨울
autumn;가을
spring;봄
ice cream;아이스크림
hotel;호텔
soil;흙
vegetable;야채
machine;기계
sea;바다
book;책
beard;수염
Jupiter;목성
sword;검
difficulty;어려움
light;빛
cuirass;동체 갑옷
folder;폴더
rum;럼
juice;주스
pirate;해적
dill;딜
painter;화가
red;빨강
green;녹색
blue;푸른
black;검정
white;화이트
yellow;황색
rhombus;마름모
triangle;삼각형
square;광장
plate;판
language;언어
circle;원
goal;골
Injun;인도인
collection;수집
mobilization;동원
smoked;훈제 한
party;파티
titanium;티탄
destabilization;불안정
tenderness;유연함
youth;젊음
cheerful;쾌활한
candy;사탕
mandarin;만다린 오렌지
lead;리드
screen;화면
burger;햄버거
button;단추
bell;종
sadness;슬픔
sound;소리
meditation;명상
conservation;보존
liberalization;자유화
exam;시험
degradation;하락
error;오류
search;검색
socket;소켓
bar;바
vulture;대머리 수리
watch;감시
window;창
lantern;칸델라
trash;쓰레기
football;축구
hockey;하키
basketball;농구
volleyball;배구
rugby;럭비
billiards;당구
Titanic;거대한
dynamic;동적
device;장치
print;인쇄
fraction;분수
cookery;요리법
office;사무실
Caesar;시저
up;올라
running;달리는
sneeze;재채기
kick;킥
bawl;소리 치다
operator;연산자
nose;코
boxing;권투
horseradish;서양 고추 냉이
accordion;아코디언
grill;그릴
urn;항아리
chew;씹다
cat;고양이
code;코드
music;음악
flower;꽃
coloring;채색
hardcore;하드 코어
happiness;행복
smile;미소
smirk;능글 맞은 웃음
souffle;수플레
charging;충전
discharge;방출
optics;광학
hallucination;환각
translation;번역
flow;흐름
bucket;물통
sing;노래
angle;각도
wall;벽
side;측면
wind;바람
thunder;뇌성
background;배경
good;좋은
money;돈
apple;사과
mouse;마우스
electronic;전자
sms;SMS
pipe;파이프
bicycle;자전거
space;공간
decline;거부
newspaper;신문
movie;영화
glass;유리
whisper;속삭임
mountain;산
dessert;디저트
haircut;헤어 스타일
rotation;회전
