snow;nevicata
war;guerra
thaw;disgelo
freezing;congelamento
summer;estate
winter;inverno
autumn;autunno
spring;primavera
ice cream;gelato
hotel;albergo
soil;suolo
vegetable;vegetale
machine;macchina
sea;mare
book;libro
beard;barba
Jupiter;Giove
sword;spada
difficulty;difficoltà
light;chiaro
cuirass;Corazza
folder;cartella
rum;rum
juice;succo
pirate;pirata
dill;aneto
painter;pittore
red;rosso
green;verde
blue;blu
black;nero
white;bianco
yellow;giallo
rhombus;rombo
triangle;triangolo
square;piazza
plate;piastra
language;lingua
circle;cerchio
goal;scopo
Injun;Injun
collection;raccolta
mobilization;mobilitazione
smoked;affumicato
party;partito
titanium;titanio
destabilization;destabilizzazione
tenderness;tenerezza
youth;gioventù
cheerful;allegro
candy;caramelle
mandarin;mandarino
lead;portare
screen;schermo
burger;hamburger
button;pulsante
bell;campana
sadness;tristezza
sound;suono
meditation;meditazione
conservation;conservazione
liberalization;liberalizzazione
exam;esame
degradation;degrado
error;Errore di
search;ricerca
socket;Presa
bar;bar
vulture;avvoltoio
watch;guardare
window;finestra
lantern;lanterna
trash;cestinare
football;calcio
hockey;hockey
basketball;basket
volleyball;pallavolo
rugby;Rugby
billiards;biliardi
Titanic;Titanic
dynamic;dinamica
device;dispositivo
print;stampare
fraction;frazione
cookery;cucina
office;ufficio
Caesar;Cesare
up;up
running;esecuzione
sneeze;starnutire
kick;calci
bawl;bawl
operator;operatore
nose;naso
boxing;boxe
horseradish;rafano
accordion;fisarmonica
grill;Griglia
urn;urna
chew;masticare
cat;gatto
code;codice
music;musica
flower;fiore
coloring;colorare
hardcore;Hardcore
happiness;felicità
smile;sorridere
smirk;sorridere
souffle;souffle
charging;ricarica
discharge;scaricare
optics;ottica
hallucination;allucinazione
translation;traduzione
flow;portata
bucket;secchio
sing;cantare
angle;Angolo di
wall;muro
side;lato
wind;fiato
thunder;tuono
background;sfondo
good;buono
money;soldi
apple;apple
mouse;topo
electronic;elettronica
sms;sms
pipe;tubo
bicycle;bicicletta
space;spazio
decline;declinare
newspaper;giornale
movie;del cinema
glass;vetro
whisper;bisbigliare
mountain;montagna
dessert;Dessert
haircut;taglio di capelli
rotation;rotazione
